ID_Atendimento,Tempo_Medio_Atendimento,Assunto_Atendimento,Chamado,Improcedente,Mais_de_um_protocolo,Acionou_suporte_focal
127553,0:21:11,LCD,Nao,,Nao,Nao
127554,0:13:04,LCD,Nao,,Nao,Nao
127555,0:04:02,Transferencia,Nao,,Sim,Sim
127556,0:04:02,Transferencia,Nao,,Sim,Sim
127557,0:14:39,LCD,Nao,,Nao,Nao
127558,0:15:47,LCD,Nao,,Sim,Nao
127559,0:15:47,Transferencia,Nao,,Sim,Sim
127560,0:15:47,Transferencia,Nao,,Sim,Sim
127561,0:09:47,Transferencia,Nao,,Sim,Sim
127562,0:09:47,Transferencia,Nao,,Sim,Sim
127563,0:10:02,Transferencia,Nao,,Sim,Sim
127564,0:10:02,Transferencia,Nao,,Sim,Sim
127565,0:14:39,C&R,Nao,,Sim,Nao
127566,0:14:39,Manutencao,Nao,,Sim,Nao
127567,0:14:39,LCD,Nao,,Sim,Nao
127568,0:07:51,Transferencia,Nao,,Sim,Sim
127569,0:07:51,Transferencia,Nao,,Sim,Sim
127570,0:29:48,LCD,Sim,Nao,Nao,Sim
127571,0:10:54,LCD,Nao,,Nao,Nao
127572,0:17:47,Manutencao,Nao,,Nao,Nao
127573,0:14:13,LCD,Nao,,Nao,Nao
127574,0:05:35,Transferencia,Nao,,Sim,Sim
127575,0:05:35,Transferencia,Nao,,Sim,Sim
127576,0:42:02,Manutencao,Sim,Nao,Nao,Sim
127577,0:16:40,Transferencia,Nao,,Sim,Sim
127578,0:16:40,Transferencia,Nao,,Sim,Sim
127579,0:07:52,LCD,Nao,,Nao,Nao
127580,0:10:04,C&R,Nao,,Sim,Nao
127581,0:10:04,Manutencao,Nao,,Sim,Nao
127582,0:10:04,Manutencao,Nao,,Sim,Nao
127583,0:13:01,Transferencia,Nao,,Sim,Sim
127584,0:13:01,Transferencia,Nao,,Sim,Sim
127585,0:20:40,LCD,Nao,,Sim,Nao
127586,0:20:40,Transferencia,Nao,,Sim,Sim
127587,0:20:40,Transferencia,Nao,,Sim,Sim
127588,0:04:58,Queda Atendimento,Nao,,Nao,Nao
127589,0:10:56,LCD,Nao,,Sim,Nao
127590,0:10:56,LCD,Nao,,Sim,Nao
127591,0:10:56,Manutencao,Nao,,Sim,Nao
127592,0:11:19,C&R,Nao,,Nao,Nao
127593,0:11:05,C&R,Nao,,Sim,Nao
127594,0:11:05,LCD,Nao,,Sim,Nao
127595,0:11:05,Manutencao,Nao,,Sim,Nao
127596,0:11:05,Manutencao,Nao,,Sim,Nao
127597,0:12:10,LCD,Nao,,Sim,Nao
127598,0:12:10,LCD,Nao,,Sim,Nao
12,0:14:13,C&R,Nao,,Nao,Nao
127600,0:09:43,Manutencao,Nao,,Nao,Nao
127601,0:15:51,C&R,Nao,,Nao,Nao
127602,0:09:53,C&R,Nao,,Sim,Nao
127603,0:09:53,Transferencia,Nao,,Sim,Sim
127604,0:09:53,Transferencia,Nao,,Sim,Sim
127605,0:21:58,LCD,Nao,,Nao,Nao
127606,0:14:19,C&R,Nao,,Nao,Nao
127607,0:34:42,C&R,Sim,Nao,Nao,Sim
127608,0:14:20,C&R,Nao,,Nao,Nao
127609,0:19:18,Manutencao,Nao,,Nao,Nao
127610,0:05:55,LCD,Nao,,Nao,Nao
127611,0:05:55,Transferencia,Nao,,Sim,Sim
127612,0:05:55,Transferencia,Nao,,Sim,Sim
127613,0:04:39,Transferencia,Nao,,Sim,Sim
127614,0:04:39,Transferencia,Nao,,Sim,Sim
127615,0:09:09,C&R,Nao,,Nao,Nao
127616,0:07:44,LCD,Nao,,Nao,Nao
